,Input,Output
0,com-snaplogic-snaps-servicenow-servicenowquery,com-snaplogic-snaps-flow-router
1,com-snaplogic-snaps-transform-datatransform,com-snaplogic-snaps-transform-sort
2,com-snaplogic-snaps-flow-router,com-snaplogic-snaps-transform-datatransform
3,com-snaplogic-snaps-transform-groupbyn,com-snaplogic-snaps-transform-datatransform
4,com-snaplogic-snaps-transform-sort,com-snaplogic-snaps-flow-head
5,com-snaplogic-snaps-flow-head,com-snaplogic-snaps-transform-groupbyn
6,com-snaplogic-snaps-transform-datatransform,com-snaplogic-snaps-rest-post
7,com-snaplogic-snaps-rest-get,com-snaplogic-snaps-transform-datatransform
8,com-snaplogic-snaps-transform-datatransform,com-snaplogic-snaps-google-spreadsheet-worksheetwriter
9,com-snaplogic-snaps-workday-workdayread,com-snaplogic-snaps-transform-datatransform
10,com-snaplogic-snaps-transform-datatransform,com-snaplogic-snaps-transform-datatransform
11,com-snaplogic-snaps-transform-datatransform,com-snaplogic-snaps-flow-router
12,com-snaplogic-snaps-flow-copy,com-snaplogic-snaps-snowflake-scd2
13,com-snaplogic-snaps-transform-datatransform,com-snaplogic-snaps-flow-router
14,com-snaplogic-snaps-transform-datatransform,com-snaplogic-snaps-transform-sort
15,com-snaplogic-snaps-flow-copy,com-snaplogic-snaps-transform-sort
16,com-snaplogic-snaps-flow-copy,com-snaplogic-snaps-transform-datatransform
17,com-snaplogic-snaps-transform-datatransform,com-snaplogic-snaps-flow-copy
18,com-snaplogic-snaps-transform-groupbyn,com-snaplogic-snaps-transform-datatransform
19,com-snaplogic-snaps-transform-datatransform,com-snaplogic-snaps-transform-groupbyn
20,com-snaplogic-snaps-transform-jsonsplitter,com-snaplogic-snaps-transform-datatransform
21,com-snaplogic-snaps-transform-datatransform,com-snaplogic-snaps-transform-jsonsplitter
22,com-snaplogic-snaps-transform-datatransform,com-snaplogic-snaps-flow-union
23,com-snaplogic-snaps-flow-router,com-snaplogic-snaps-transform-datatransform
24,com-snaplogic-snaps-flow-union,com-snaplogic-snaps-snowflake-bulkupsert
25,com-snaplogic-snaps-transform-datatransform,com-snaplogic-snaps-flow-union
26,com-snaplogic-snaps-flow-router,com-snaplogic-snaps-transform-sort
27,com-snaplogic-snaps-transform-sort,com-snaplogic-snaps-transform-multijoin
28,com-snaplogic-snaps-flow-filter,com-snaplogic-snaps-flow-copy
29,com-snaplogic-snaps-snowflake-scd2,com-snaplogic-snaps-transform-datatransform
30,com-snaplogic-snaps-snowflake-execute,com-snaplogic-snaps-transform-multijoin
31,com-snaplogic-snaps-flow-router,com-snaplogic-snaps-transform-multijoin
32,com-snaplogic-snaps-transform-multijoin,com-snaplogic-snaps-transform-datatransform
33,com-snaplogic-snaps-transform-multijoin,com-snaplogic-snaps-transform-datatransform
34,com-snaplogic-snaps-transform-datatransform,com-snaplogic-snaps-transform-datatransform
35,com-snaplogic-snaps-transform-datatransform,com-snaplogic-snaps-transform-datatransform
36,com-snaplogic-snaps-transform-datatransform,com-snaplogic-snaps-flow-filter
37,com-snaplogic-snaps-transform-datatransform,com-snaplogic-snaps-transform-sort
38,com-snaplogic-snaps-transform-groupbyfields,com-snaplogic-snaps-transform-datatransform
39,com-snaplogic-snaps-transform-datatransform,com-snaplogic-snaps-transform-datatransform
40,com-snaplogic-snaps-transform-sort,com-snaplogic-snaps-transform-multijoin
41,com-snaplogic-snaps-transform-datatransform,com-snaplogic-snaps-flow-union
42,com-snaplogic-snaps-transform-conditional,com-snaplogic-snaps-transform-datatransform
43,com-snaplogic-snaps-transform-multijoin,com-snaplogic-snaps-transform-conditional
44,com-snaplogic-snaps-flow-union,com-snaplogic-snaps-transform-datatransform
45,com-snaplogic-snaps-flow-router,com-snaplogic-snaps-flow-union
46,com-snaplogic-snaps-transform-sort,com-snaplogic-snaps-transform-groupbyfields
47,com-snaplogic-snaps-flow-copy,com-snaplogic-snaps-transform-sort
48,com-snaplogic-snaps-transform-sort,com-snaplogic-snaps-transform-multijoin
49,com-snaplogic-snaps-transform-sort,com-snaplogic-snaps-transform-multijoin
50,com-snaplogic-snaps-azuresql-execute,com-snaplogic-snaps-sqlserver-execute
51,com-snaplogic-snaps-sqlserver-execute,com-snaplogic-snaps-azuresql-azuresqlbulkload
52,com-snaplogic-snaps-flow-copy,com-snaplogic-snaps-transform-datatransform
53,com-snaplogic-snaps-flow-copy,com-snaplogic-snaps-transform-datatransform
54,com-snaplogic-snaps-flow-copy,com-snaplogic-snaps-transform-datatransform
55,com-snaplogic-snaps-flow-copy,com-snaplogic-snaps-transform-datatransform
56,com-snaplogic-snaps-flow-copy,com-snaplogic-snaps-transform-datatransform
57,com-snaplogic-snaps-flow-copy,com-snaplogic-snaps-transform-datatransform
58,com-snaplogic-snaps-flow-copy,com-snaplogic-snaps-transform-datatransform
59,com-snaplogic-snaps-flow-copy,com-snaplogic-snaps-transform-datatransform
60,com-snaplogic-snaps-flow-copy,com-snaplogic-snaps-transform-datatransform
61,com-snaplogic-snaps-transform-jsongenerator,com-snaplogic-snaps-flow-copy
62,com-snaplogic-snaps-flow-copy,com-snaplogic-snaps-transform-datatransform
63,com-snaplogic-snaps-rest-get,com-snaplogic-snaps-transform-jsonsplitter
64,com-snaplogic-snaps-transform-datatransform,com-snaplogic-snaps-snowflake-insert
65,com-snaplogic-snaps-transform-jsonsplitter,com-snaplogic-snaps-transform-datatransform
66,com-snaplogic-snaps-rest-get,com-snaplogic-snaps-transform-datatransform
67,com-snaplogic-snaps-rest-get,com-snaplogic-snaps-transform-jsonsplitter
68,com-snaplogic-snaps-flow-union,com-snaplogic-snaps-flow-filter
69,com-snaplogic-snaps-flow-copy,com-snaplogic-snaps-sqlserver-insert
70,com-snaplogic-snaps-transform-datatransform,com-snaplogic-snaps-sqlserver-insert
71,com-snaplogic-snaps-transform-datatransform,com-snaplogic-snaps-rest-get
72,com-snaplogic-snaps-transform-jsonsplitter,com-snaplogic-snaps-flow-union
73,com-snaplogic-snaps-flow-copy,com-snaplogic-snaps-transform-jsonsplitter
74,com-snaplogic-snaps-flow-copy,com-snaplogic-snaps-transform-jsonsplitter
75,com-snaplogic-snaps-flow-filter,com-snaplogic-snaps-transform-datatransform
76,com-snaplogic-snaps-flow-copy,com-snaplogic-snaps-transform-jsonsplitter
77,com-snaplogic-snaps-transform-jsonsplitter,com-snaplogic-snaps-flow-union
78,com-snaplogic-snaps-transform-datatransform,com-snaplogic-snaps-transform-datatransform
79,com-snaplogic-snaps-transform-datatransform,com-snaplogic-snaps-rest-get
80,com-snaplogic-snaps-flow-copy,com-snaplogic-snaps-flow-filter
81,com-snaplogic-snaps-transform-datatransform,com-snaplogic-snaps-flow-copy
82,com-snaplogic-snaps-transform-jsonsplitter,com-snaplogic-snaps-transform-datatransform
83,com-snaplogic-snaps-rest-get,com-snaplogic-snaps-transform-datatransform
84,com-snaplogic-snaps-transform-datatransform,com-snaplogic-snaps-flow-copy
85,com-snaplogic-snaps-transform-jsonsplitter,com-snaplogic-snaps-flow-union
86,com-snaplogic-snaps-flow-filter,com-snaplogic-snaps-transform-datatransform
87,com-snaplogic-snaps-transform-jsonsplitter,com-snaplogic-snaps-salesforce-read
88,com-snaplogic-snaps-salesforce-read,com-snaplogic-snaps-transform-jsonformatter
89,com-snaplogic-snaps-salesforce-subscriber,com-snaplogic-snaps-transform-jsonsplitter
90,com-snaplogic-snaps-transform-jsonformatter,com-snaplogic-snaps-jms-jmsproducer
91,com-snaplogic-snaps-snaplogic-read,com-snaplogic-snaps-flow-filter
92,com-snaplogic-snaps-transform-jsonformatter,com-snaplogic-snaps-binary-zip
93,com-snaplogic-snaps-transform-datatransform,com-snaplogic-snaps-transform-jsonformatter
94,com-snaplogic-snaps-snaplogic-read,com-snaplogic-snaps-transform-datatransform
95,com-snaplogic-snaps-transform-datatransform,com-snaplogic-snaps-flow-router
96,com-snaplogic-snaps-flow-router,com-snaplogic-snaps-transform-jsonsplitter
97,com-snaplogic-snaps-transform-groupbyn,com-snaplogic-snaps-transform-jsonformatter
98,com-snaplogic-snaps-transform-jsonformatter,com-snaplogic-snaps-binary-zip
99,com-snaplogic-snaps-flow-filter,com-snaplogic-snaps-transform-datatransform
100,com-snaplogic-snaps-transform-datatransform,com-snaplogic-snaps-transform-groupbyn
101,com-snaplogic-snaps-flow-router,com-snaplogic-snaps-snaplogic-list
102,com-snaplogic-snaps-snaplogic-list,com-snaplogic-snaps-flow-union
103,com-snaplogic-snaps-transform-jsonsplitter,com-snaplogic-snaps-flow-union
104,com-snaplogic-snaps-flow-union,com-snaplogic-snaps-snaplogic-read
105,com-snaplogic-snaps-transform-multijoin,com-snaplogic-snaps-transform-datatransform
106,com-snaplogic-snaps-transform-datatransform,com-snaplogic-snaps-transform-multijoin
107,com-snaplogic-snaps-transform-binarytodocument,com-snaplogic-snaps-transform-multijoin
108,com-snaplogic-snaps-transform-datatransform,com-snaplogic-snaps-salesforce-create
109,com-snaplogic-snaps-salesforce-read,com-snaplogic-snaps-transform-datatransform
110,com-snaplogic-snaps-binary-simpleread,com-snaplogic-snaps-transform-binarytodocument
111,com-snaplogic-snaps-salesforce-upsert,com-snaplogic-snaps-transform-datatransform
112,com-snaplogic-snaps-azuresql-execute,com-snaplogic-snaps-transform-datatransform
113,com-snaplogic-snaps-transform-jsonformatter,com-snaplogic-snaps-binary-write
114,com-snaplogic-snaps-salesforce-upsert,com-snaplogic-snaps-transform-jsonformatter
115,com-snaplogic-snaps-transform-jsonformatter,com-snaplogic-snaps-binary-write
116,com-snaplogic-snaps-transform-datatransform,com-snaplogic-snaps-salesforce-upsert
117,com-snaplogic-snaps-transform-datatransform,com-snaplogic-snaps-transform-jsonformatter
118,com-snaplogic-snaps-transform-datatransform,com-snaplogic-snaps-flow-router
119,com-snaplogic-snaps-flow-router,com-snaplogic-snaps-rest-post
120,com-snaplogic-snaps-flow-router,com-snaplogic-snaps-rest-patch
121,com-snaplogic-snaps-rest-post,com-snaplogic-snaps-flow-union
122,com-snaplogic-snaps-rest-patch,com-snaplogic-snaps-flow-union
123,com-snaplogic-snaps-transform-groupbyn,com-snaplogic-snaps-transform-xmlgenerator
124,com-snaplogic-snaps-oracle-select,com-snaplogic-snaps-transform-groupbyn
125,com-snaplogic-snaps-transform-xmlgenerator,com-snaplogic-snaps-transform-datatransform
126,com-snaplogic-snaps-transform-datatransform,com-snaplogic-snaps-transform-documenttobinary
127,com-snaplogic-snaps-transform-documenttobinary,com-snaplogic-snaps-binary-write
128,com-snaplogic-snaps-rest-get,com-snaplogic-snaps-rest-get
129,com-snaplogic-snaps-rest-get,com-snaplogic-snaps-transform-jsonsplitter
130,com-snaplogic-snaps-flow-copy,com-snaplogic-snaps-rest-get
131,com-snaplogic-snaps-transform-jsonsplitter,com-snaplogic-snaps-transform-datatransform
132,com-snaplogic-snaps-rest-get,com-snaplogic-snaps-transform-jsonsplitter
133,com-snaplogic-snaps-flow-copy,com-snaplogic-snaps-rest-get
134,com-snaplogic-snaps-rest-get,com-snaplogic-snaps-transform-datatransform
135,com-snaplogic-snaps-transform-datatransform,com-snaplogic-snaps-flow-copy
136,com-snaplogic-snaps-transform-jsonparser,com-snaplogic-snaps-transform-csvformatter
137,com-snaplogic-snaps-binary-simpleread,com-snaplogic-snaps-transform-jsonparser
138,com-snaplogic-snaps-transform-csvformatter,com-snaplogic-snaps-binary-write
139,com-snaplogic-snaps-servicenow-servicenowquery,com-snaplogic-snaps-transform-datatransform
140,com-snaplogic-snaps-transform-datatransform,com-snaplogic-snaps-transform-groupbyn
141,com-snaplogic-snaps-transform-groupbyn,com-snaplogic-snaps-transform-datatransform
142,com-snaplogic-snaps-transform-datatransform,com-snaplogic-snaps-rest-post
143,com-snaplogic-snaps-sap-execute,com-snaplogic-snaps-rest-get
144,com-snaplogic-snaps-flow-filter,com-snaplogic-snaps-transform-datatransform
145,com-snaplogic-snaps-transform-datatransform,com-snaplogic-snaps-oracle-lookup
146,com-snaplogic-snaps-oracle-lookup,com-snaplogic-snaps-flow-filter
147,com-snaplogic-snaps-transform-datatransform,com-snaplogic-snaps-sap-execute
148,com-snaplogic-snaps-transform-csvgenerator,com-snaplogic-snaps-flow-pipeexec
149,com-snaplogic-snaps-flow-tail,com-snaplogic-snaps-email-emailsender
150,com-snaplogic-snaps-flow-pipeexec,com-snaplogic-snaps-flow-tail
151,com-snaplogic-snaps-transform-datatransform,com-snaplogic-snaps-transform-datatransform
152,com-snaplogic-snaps-transform-jsongenerator,com-snaplogic-snaps-transform-groupbyfields
153,com-snaplogic-snaps-transform-groupbyfields,com-snaplogic-snaps-transform-datatransform
154,com-snaplogic-snaps-transform-aggregate,com-snaplogic-snaps-transform-datatransform
155,com-snaplogic-snaps-binary-simpleread,com-snaplogic-snaps-transform-excelparser
156,com-snaplogic-snaps-transform-excelparser,com-snaplogic-snaps-transform-aggregate
157,com-snaplogic-snaps-transform-jsonparser,com-snaplogic-snaps-transform-jsonformatter
158,com-snaplogic-snaps-mqtt-mqttreader,com-snaplogic-snaps-transform-jsonparser
159,com-snaplogic-snaps-transform-jsonformatter,com-snaplogic-snaps-binary-write
