Entry,Link,Source,Source_CID,Destination,Dest_CID
0,link124,d6e9734d-4e1c-4b52-ad5d-2488b339cdfb,com-snaplogic-snaps-servicenow-servicenowquery,cff61e30-31af-456d-9c65-2fd78d93d58c,com-snaplogic-snaps-flow-router
0,link125,e9b95dce-df1c-4c01-b5e8-2b5c51ac98ca,com-snaplogic-snaps-transform-datatransform,ab6cbf22-8dbc-4e79-9254-bb1ffe701200,com-snaplogic-snaps-transform-sort
0,link126,cff61e30-31af-456d-9c65-2fd78d93d58c,com-snaplogic-snaps-flow-router,e9b95dce-df1c-4c01-b5e8-2b5c51ac98ca,com-snaplogic-snaps-transform-datatransform
0,link114,520aa42b-6858-4ab3-9a1d-ebc42d8cd2fe,com-snaplogic-snaps-transform-groupbyn,887c6e92-7eac-423e-b560-d75731d92510,com-snaplogic-snaps-transform-datatransform
0,link123,ab6cbf22-8dbc-4e79-9254-bb1ffe701200,com-snaplogic-snaps-transform-sort,ad47db88-580b-4be7-b44b-da48e6445f28,com-snaplogic-snaps-flow-head
0,link116,ad47db88-580b-4be7-b44b-da48e6445f28,com-snaplogic-snaps-flow-head,520aa42b-6858-4ab3-9a1d-ebc42d8cd2fe,com-snaplogic-snaps-transform-groupbyn
0,link129,887c6e92-7eac-423e-b560-d75731d92510,com-snaplogic-snaps-transform-datatransform,09b66421-6caa-491c-9a6d-4dc0fc44a9d5,com-snaplogic-snaps-rest-post
1,link100,2e6216ef-c34f-4fd8-9c83-ee8fa6c3c23a,com-snaplogic-snaps-rest-get,ef2a1c10-c6b2-4146-8757-6378e25ce37c,com-snaplogic-snaps-transform-datatransform
1,link101,ef2a1c10-c6b2-4146-8757-6378e25ce37c,com-snaplogic-snaps-transform-datatransform,29968739-f199-486f-9122-362e42223bb7,com-snaplogic-snaps-google-spreadsheet-worksheetwriter
2,link252,803f0b51-5246-4a7f-90fa-9d4e5b0c6d20,com-snaplogic-snaps-workday-workdayread,871e0476-06df-4636-a42d-97bafbd7987c,com-snaplogic-snaps-transform-datatransform
